"name","label","description","content","url","link","local","cats","analyse","text"
      [
        ""well"",
        1
      ],
      [
        ""phones"",
        1
      ],
      [
        ""lumia"",
        1
      ],
      [
        ""competitors"",
        1
      ],
      [
        ""preparing"",
        1
      ],
      [
        ""everyday"",
        1
      ],
      [
        ""life"",
        1
      ],
      [
        ""developers"",
        1
      ],
      [
        ""preventing"",
        1
      ],
      [
        ""dystopique"",
        1
      ],
      [
        ""george"",
        1
      ],
      [
        ""orwell"",
        1
      ],
      [
        ""best"",
        1
      ],
      [
        ""huxley"",
        1
      ],
      [
        ""quoting"",
        1
      ],
      [
        ""skynet"",
        1
      ],
      [
        ""terminator"",
        1
      ],
      [
        ""occasion"",
        1
      ],
      [
        ""jason"",
        1
      ],
      [
        ""wong"",
        1
